epoch,acc,char_acc,len_acc,loss,top3_acc,val_acc,val_char_acc,val_len_acc,val_loss,val_top3_acc
0,0.2986111044883728,0.7230603694915771,0.488864928483963,1.4094053506851196,0.8482638597488403,0.3883928656578064,0.7790178060531616,0.5625,1.443638563156128,0.8839285969734192
1,0.4256465435028076,0.7991979122161865,0.7585009932518005,0.8964614272117615,0.8816691040992737,0.4464285671710968,0.7973214387893677,0.65625,1.1947393417358398,0.8986607193946838
2,0.4704262316226959,0.8268199563026428,0.8302203416824341,0.7231687307357788,0.9004191160202026,0.4955357015132904,0.8187500238418579,0.7098214030265808,1.0054465532302856,0.8999999761581421
3,0.5105363726615906,0.8374280333518982,0.841834306716919,0.6534362435340881,0.9110034704208374,0.5089285969734192,0.8263393640518188,0.7678571343421936,0.8638575673103333,0.9089285731315613
4,0.49185824394226074,0.8521073460578918,0.8550047874450684,0.5752154588699341,0.9199593663215637,0.5401785969734192,0.8517856597900391,0.7901785969734192,0.7619017958641052,0.9142857193946838
5,0.5397509336471558,0.8626917600631714,0.8535679578781128,0.5253263115882874,0.9279932975769043,0.5625,0.8616070747375488,0.7991071343421936,0.692264974117279,0.9183035492897034
6,0.5854885578155518,0.876724123954773,0.8657806515693665,0.4791536331176758,0.9357638955116272,0.5714285969734192,0.866071343421936,0.8080357313156128,0.6476137638092041,0.9196428656578064
7,0.5781848430633545,0.8814536333084106,0.874880313873291,0.45346879959106445,0.9363865852355957,0.6205357313156128,0.8741070628166199,0.8169642686843872,0.6189724206924438,0.9236606955528259
8,0.586805522441864,0.8855723142623901,0.8937979340553284,0.4260461926460266,0.9435105323791504,0.6339285969734192,0.8772321343421936,0.8348214030265808,0.5972632765769958,0.9241070747375488
9,0.5829741358757019,0.8931633234024048,0.8967912197113037,0.3984333276748657,0.9468150734901428,0.6383928656578064,0.878125011920929,0.8482142686843872,0.5813437700271606,0.9236606955528259
10,0.6068007349967957,0.8997126817703247,0.9129549860954285,0.3683549463748932,0.9501436948776245,0.6428571343421936,0.8816964030265808,0.8660714030265808,0.5706907510757446,0.9236606955528259
